FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
90.47,20.54,11,260,1,Summer,All
90.67,16.6,21,230,1,Summer,All
86.28,9.71,39,200,1,Summer,All
88.75,14.62,40,190,1,Summer,All
88.79,18.39,29,230,1,Summer,All
90.16,17.95,37,250,1,Summer,All
92.51,24.55,32,230,2,Summer,All
92.56,30.23,18,170,2,Summer,All
85.71,14.17,26,250,1,Summer,All
88.24,15.02,29,250,1,Summer,All
90.5,20.55,18,260,1,Summer,All
90.31,24.46,23,240,2,Summer,All
90.36,27.56,16,260,2,Summer,All
88.35,32.15,27,60,2,Summer,All
87.05,34.01,11,50,2,Summer,All
88.14,37.04,8,100,3,Summer,All
88.55,33.39,19,230,2,Summer,All
88.6,36.45,23,140,3,Summer,All
86.01,18.89,24,70,1,Summer,All
89.99,28.01,10,240,2,Summer,All
90,31.15,21,250,2,Summer,All
89.42,23.95,21,240,2,Summer,All
86.93,26.91,21,240,2,Summer,All
86.98,29.1,26,340,2,Summer,All
88.63,32.4,19,260,2,Summer,All
87.3,37.86,29,300,3,Summer,All
87.87,40.21,29,280,3,Summer,All
87.16,42.09,11,180,3,Summer,All
87.98,44.22,29,290,3,Summer,All
88.76,46.34,35,310,4,Summer,All
87.22,49.62,18,170,4,Summer,All
85.98,51.13,24,200,4,Summer,All
86.53,52.88,35,250,4,Summer,All
86.57,54.29,14,320,4,Summer,All
85.98,49.27,16,250,4,Summer,All
85.84,31.54,23,230,2,Summer,All
85.89,33.3,21,240,2,Summer,All
84.99,35.3,23,10,2,Summer,All
88.04,37.67,19,160,3,Summer,All
86.99,38.92,21,280,3,Summer,All
87.04,34.62,24,200,2,Summer,All
87.21,35.95,26,270,3,Summer,All
87.26,30.69,40,240,2,Summer,All
87.31,31.89,27,290,2,Summer,All
87.35,33.6,31,260,2,Summer,All
87.4,35.38,19,310,2,Summer,All
88.62,38.16,23,230,3,Summer,All
85.71,39.49,21,170,3,Summer,All
86.56,41.34,27,250,3,Summer,All
87.17,43.11,11,280,3,Summer,All
87.26,45.84,27,280,3,Summer,All
87.62,36.89,23,290,3,Summer,All
87.91,37.81,13,260,3,Summer,All
87.66,17.64,23,60,1,Spring,All
87.58,19.24,21,60,1,Spring,All
86.93,20.43,24,60,1,Spring,All
85.66,21.21,26,70,1,Spring,All
82.79,21.99,31,190,1,Spring,All
85.09,16.68,39,220,1,Spring,All
90.71,18.23,19,70,1,Spring,All
87.98,20.33,26,60,1,Spring,All
88.43,23.18,23,70,1,Spring,All
87.89,25.34,16,60,2,Spring,All
88.86,25.91,23,240,2,Spring,All
90.61,30.42,16,250,2,Spring,All
88.75,33.16,23,60,2,Spring,All
88.21,35.78,19,60,3,Spring,All
86.63,37.79,18,60,3,Spring,All
84.63,30.29,23,220,2,Spring,All
88.81,34.44,19,240,2,Summer,All
89.18,38.56,3,80,3,Summer,All
82.15,39.4,23,40,3,Summer,All
86.34,45.31,13,40,3,Summer,All
89.59,49.77,0,0,4,Summer,All
87.49,52.3,19,200,4,Summer,All
89.42,56.7,16,190,4,Summer,All
90.21,61.31,11,10,4,Summer,All
90.23,39.07,16,160,3,Summer,All
